ROSANE,353,82427
JAIME,354,82401
VALDEMAR,355,82199
IVONETE,356,82114
EDIVALDO,357,81730
LUCIANE,358,81519
ISADORA,359,81340
ARNALDO,360,80848
LUCIMAR,361,80637
NILZA,362,80285
CRISTIAN,363,80171
MOACIR,364,79857
ISMAEL,365,79413
PALOMA,366,79397
DAMIAO,367,79321
MICHEL,368,78975
ISAIAS,369,78969
CARMEM,370,78911
NIVALDO,371,78831
SUELEN,372,78824
JAIRO,373,78707
ANGELO,374,78581
ROSIMEIRE,375,78368
JANE,376,77345
VALDECIR,377,77189
WELLINGTON,378,77126
ALEXANDRO,379,76950
CLEUSA,380,76694
VANDA,381,76593
ILDA,382,76562
DENIS,383,76362
VALDEMIR,384,76232
ELIENE,385,76127
WANDERSON,386,76026
RIAN,387,75652
CLAUDINEI,388,75463
JAILSON,389,75353
MAYARA,390,75077
CELIO,391,74984
DIANA,392,74947
SOFIA,393,74888
YURI,394,74671
DENILSON,395,74473
ARIANE,396,74371
IAGO,397,74305
MARIANE,398,74021
SUZANA,399,73944
EDER,400,73915
CLARICE,401,73641
DAIANA,402,73385
CHARLES,403,73144
MARLON,404,72963
ALISON,405,72950
ERIC,406,72579
JONATAN,407,72390
EDILENE,408,72012
ELTON,409,71897
WESLEI,410,71086
MIRIAM,411,71032
NATANAEL,412,70645
ERICK,413,70525
ELISABETE,414,70460
ELIETE,415,70433
KARINE,416,69775
KAUAN,417,69410
AGNALDO,418,69092
ODETE,419,68991
JUSSARA,420,68817
IZABEL,421,68785
LUISA,422,68539
KAREN,423,68536
ODAIR,424,68473
GEOVANE,425,68100
ALANA,426,67975
CASSIA,427,67901
MONIQUE,428,67793
CATIA,429,67615
WALTER,430,67360
DEISE,431,67193
ISABELE,432,66868
ARLINDO,433,66824
EVELIN,434,66762
KEILA,435,66626
MICHAEL,436,66277
ADRIELE,437,66216
ANDREZA,438,66163
JOSEANE,439,66069
ALVARO,440,65710
LOURDES,441,65031
YASMIM,442,65023
EZEQUIEL,443,64678
EVERALDO,444,64560
ALMIR,445,64554
ALZIRA,446,64386
NADIR,447,64267
CARINA,448,63555
DARCI,449,63320
ERIKA,450,63167
IVO,451,63090
ADEMAR,452,62815
GISLAINE,453,62810
RAMON,454,62807
EMILY,455,62271
